

"Cable Connection Report"
"Save Time: 2013/08/26 09:34:40"
"User Name:admin"
""

"Total 605 Records"

"Name","Level/Capacity","Rate (bit/s)","Direction","Source NE","Source Port","Sink NE","Sink Port","Length (km)","Designed Attenuation(EOL)","Fiber/Cable Type","Medium Type","Creation Time","Creator","Maintainer","Remarks","Alarm Severity","Disabled Status","Alarm Generation Time"
f-68,STM-1,--,Two-Fiber Bidirectional,MKM-025,2-OI2S-1(KSN-014),KSN-014,1-OI2D-2(MKM-025),1.0,0.0,Fiber,G.652,2012/09/14 03:43:16,noppadolt,noppadolt,-,Normal,Enable,-
f-16,STM-1,--,Two-Fiber Bidirectional,MKM-003,3-OI2D-2(MKM-014),MKM-014,1-OI2D-1(DIR:MKM-003),1.0,0.0,Fiber,G.652,2012/09/18 10:01:21,noppadolt,noppadolt,-,Normal,Enable,-
f-17,STM-1,--,Two-Fiber Bidirectional,MKM-014,1-OI2D-2(DIR:MKM-017),MKM-017,2-OI2S-1(MKM-014),1.0,0.0,Fiber,G.652,2012/09/18 10:01:41,noppadolt,noppadolt,-,Normal,Enable,-
f-69,STM-1,--,Two-Fiber Bidirectional,UDN-002,2-OI2D-1(DIR:UDN-017),UDN-017,3-OI2D-1(DIR:UDN-002),1.0,0.0,Fiber,G.652,2012/09/18 11:58:26,noppadolt,noppadolt,"use core No.23,24(project Ason 24 core)",Critical,Enable,2013/08/14 16:50:34
f-4,STM-4,--,Two-Fiber Bidirectional,C-2-Ext.2-BFKT_(OSN3500),11-N1SLD4-1(SDH-1),TrueH_POI2G_1,17-OSB4-1(SDH-1),1.0,0.0,Fiber,G.652,2012/09/19 11:39:44,admin,admin,-,Normal,Enable,-
f-72,STM-1,--,Two-Fiber Bidirectional,SNK-030,2-OI2S-1(SNK-015),SNK-015_Y52,1-OI2D-1(SNK-030),1.0,0.0,Fiber,G.652,2012/09/21 03:55:53,noppadolt,noppadolt,-,Normal,Enable,-
f-73,STM-1,--,Two-Fiber Bidirectional,SNK-015_Y52,1-OI2D-2(SNK-020),SNK-020,1-OI2D-1(SNK-015),1.0,0.0,Fiber,G.652,2012/09/21 03:56:06,noppadolt,noppadolt,-,Normal,Enable,-
f-74,STM-1,--,Two-Fiber Bidirectional,SNK-020,1-OI2D-2(SNK-009),SNK-009,1-OI2D-1(SNK-020),1.0,0.0,Fiber,G.652,2012/09/21 03:56:19,noppadolt,noppadolt,-,Normal,Enable,-
f-75,STM-1,--,Two-Fiber Bidirectional,SNK-006,14-SL1-1(SNK-022),SNK-022,2-OI2D-1(SNK-006),1.0,0.0,Fiber,G.652,2012/09/21 08:00:09,noppadolt,noppadolt,-,Normal,Enable,-
f-76,STM-4,--,Two-Fiber Bidirectional,MKM-006,11-N1SLD4-2(RET-007),RET-007,3-SL4-1(MKM-006),1.0,0.0,Fiber,G.652,2012/09/21 11:51:09,noppadolt,noppadolt,-,Normal,Enable,-
f-77,STM-1,--,Two-Fiber Bidirectional,KSN-021,14-SD1-1(KSN-006),KSN-006,1-OI2D-2(SDH-2),1.0,0.0,Fiber,G.652,2012/09/24 00:30:41,noppadolt,noppadolt,-,Normal,Enable,-
f-78,STM-1,--,Two-Fiber Bidirectional,KSN-013,1-OI2D-1(SDH-1),KSN-002,2-OI2D-2(KSN-013),1.0,0.0,Fiber,G.652,2012/09/24 00:32:05,noppadolt,noppadolt,-,Normal,Enable,-
f-5,STM-4,--,Two-Fiber Bidirectional,C-2-Ext.2-BFKT_(OSN3500),11-N1SLD4-2(SDH-2),NTBAIS_POI2G_3,18-OSB4-1(SDH-1),1.0,0.0,Fiber,G.652,2012/09/25 03:19:40,admin,admin,-,Normal,Enable,-
f-18,STM-1,--,Two-Fiber Bidirectional,SNK-001,13-SL1-1(NPM-007),NPM-007,1-OI2S-1(SNK-001),1.0,0.0,Fiber,G.652,2012/09/26 08:51:25,noppadolt,noppadolt,-,Normal,Enable,-
f-20,STM-1,--,Two-Fiber Bidirectional,NPM-001,2-OI2D-1(NPM-016),NPM-016,2-OI2S-1(NPM-001),1.0,0.0,Fiber,G.652,2012/09/26 09:08:56,noppadolt,noppadolt,-,Normal,Enable,-
f-21,STM-1,--,Two-Fiber Bidirectional,NPM-016,1-OI2S-1(NPM-023),NPM-023,1-OI2D-2(NPM-016),1.0,0.0,Fiber,G.652,2012/09/26 09:10:09,noppadolt,noppadolt,-,Normal,Enable,-
f-22,STM-1,--,Two-Fiber Bidirectional,NPM-007,2-OI2S-1(NPM-011),NPM-011,1-OI2D-2(SDH-2),1.0,0.0,Fiber,G.652,2012/09/26 13:48:54,noppadolt,noppadolt,-,Normal,Enable,-
f-23,STM-1,--,Two-Fiber Bidirectional,NPM-011,1-OI2D-1(SDH-1),NPM-008,1-OI2D-1(NPM-011),1.0,0.0,Fiber,G.652,2012/09/27 01:46:05,noppadolt,noppadolt,-,Normal,Enable,-
f-26,STM-1,--,Two-Fiber Bidirectional,NKI-019,1-OI2D-2(DIR:NPM-005),NPM-005,1-OI2D-1(SDH-1),1.0,0.0,Fiber,G.652,2012/09/27 03:25:11,noppadolt,noppadolt,-,Normal,Enable,-
f-27,STM-1,--,Two-Fiber Bidirectional,NPM-005,1-OI2D-2(SDH-2),NPM-020,1-OI2D-2(NPM-005),1.0,0.0,Fiber,G.652,2012/09/27 03:26:08,noppadolt,noppadolt,-,Normal,Enable,-
f-28,STM-1,--,Two-Fiber Bidirectional,NPM-020,1-OI2D-1(NPM-021),NPM-021,1-OI2D-2(SDH-2),1.0,0.0,Fiber,G.652,2012/09/27 04:48:36,noppadolt,noppadolt,-,Normal,Enable,-
f-29,STM-1,--,Two-Fiber Bidirectional,NPM-021,1-OI2D-1(SDH-1),NPM-001,1-OI2D-2(NPM-021),1.0,0.0,Fiber,G.652,2012/09/27 04:54:24,noppadolt,noppadolt,-,Critical,Enable,2013/08/22 23:23:16
